rowid,kepler_name,koi_period,koi_prad,koi_teq,koi_insol
87,Kepler-235 e,46.1842039,1.83,273.0,1.32
170,Kepler-705 b,56.0560754,1.94,233.0,0.69
532,Kepler-267 d,28.46464804,1.87,301.0,1.95
560,Kepler-737 b,28.59914031,1.83,298.0,1.87
631,,12.713794177,2.31,181.0,0.26
663,Kepler-61 b,59.8780258,2.19,273.0,1.31
973,Kepler-296 d,19.85029495,1.52,297.0,1.83
1276,Kepler-69 c,242.467406,1.73,286.0,1.59
1470,Kepler-1040 b,201.118319,2.28,300.0,1.92
1550,Kepler-309 c,105.3582299,1.87,204.0,0.41
1577,Kepler-1058 b,110.9643706,2.11,239.0,0.77
1586,Kepler-991 b,82.5341188,2.45,260.0,1.08
1795,,91.500873,1.82,310.0,2.18
2024,Kepler-1229 b,86.829519,1.68,196.0,0.35
2038,Kepler-395 c,34.9897847,1.14,292.0,1.71
2244,,131.187921,2.34,284.0,1.54
2257,,38.0970717,1.58,242.0,0.81
2329,,205.385912,2.11,200.0,0.38
2359,Kepler-1389 b,99.2532336,2.17,300.0,1.93
2566,Kepler-1362 b,136.205112,2.35,248.0,0.89
2617,Kepler-1410 b,60.8660974,1.39,244.0,0.84
2723,,31.0209175,1.66,291.0,1.7
2885,,82.6595174,2.03,233.0,0.7
2910,,419.97507836,1.53,215.0,0.51
2955,,203.250506,1.35,292.0,1.71
2979,,386.39833,2.2,214.0,0.49
3019,,367.07446,2.15,287.0,1.59
3031,,251.7512,1.25,272.0,1.29
3070,Kepler-155 c,52.6615266,1.87,271.0,1.28
3109,Kepler-22 b,289.864067,2.34,257.0,1.03
3123,Kepler-159 c,43.5859419,2.05,275.0,1.35
3217,Kepler-560 b,18.47762694,1.55,267.0,1.21
3273,Kepler-174 d,247.354914,2.29,212.0,0.48
3274,,462.12069,2.46,249.0,0.91
3413,Kepler-62 e,122.3858681,1.72,269.0,1.24
3444,,275.07365,1.86,303.0,2.0
3626,Kepler-440 b,101.1107014,1.61,229.0,0.65
3634,,360.33012,2.34,200.0,0.38
3688,Kepler-1552 b,184.77271,2.41,268.0,1.21
3694,Kepler-1544 b,168.81133,1.69,241.0,0.8
3700,,366.24282,2.4,237.0,0.75
3712,,359.1015,2.37,285.0,1.56
3738,,169.135056,2.21,273.0,1.31
3784,,365.25921,2.39,268.0,1.23
3799,,383.00806,2.2,235.0,0.72
3801,,331.81534,1.84,267.0,1.2
3820,,372.94844,1.34,233.0,0.7
3829,Kepler-1593 b,174.510276,1.74,186.0,0.28
3837,,293.76887,1.97,271.0,1.28
3846,,361.91436,1.84,297.0,1.84
3852,,374.59003,1.34,227.0,0.62
3855,,319.30633,1.26,279.0,1.44
3896,,410.99389,2.09,220.0,0.55
3902,,409.2452,2.1,244.0,0.84
3935,,343.42046,2.15,270.0,1.27
3938,,244.60373,2.1,235.0,0.72
3966,,349.41047,2.41,253.0,0.97
3992,,370.90237,1.97,238.0,0.76
3993,,321.55087,1.68,250.0,0.92
4028,,407.59415,2.11,266.0,1.18
4031,,358.101884,0.95,242.0,0.81
4051,,309.25581,2.18,287.0,1.61
4058,,370.47678,2.37,252.0,0.96
4075,,316.57747,1.47,255.0,1.01
4081,,245.01902,1.98,310.0,2.17
4093,,244.86662,1.46,273.0,1.31
4110,,140.251943,1.84,271.0,1.28
4113,,134.4665,2.48,280.0,1.45
4115,Kepler-441 b,207.24785,1.56,189.0,0.3
4125,,368.11581,2.11,263.0,1.12
4131,,364.08733,1.39,211.0,0.47
4160,,349.03703,2.27,231.0,0.67
4161,,177.8135,1.83,310.0,2.17
4172,,293.60581,1.37,295.0,1.79
4178,,368.48518,1.98,283.0,1.52
4233,,184.568,1.53,282.0,1.5
4236,,367.19796,1.08,253.0,0.96
4246,,365.13981,1.86,228.0,0.64
4248,,381.18654,2.29,193.0,0.33
4251,,370.62071,2.12,295.0,1.78
4256,,330.906041,2.05,225.0,0.6
4268,,373.43233,1.48,290.0,1.66
4270,,397.73781,2.2,264.0,1.16
4287,Kepler-1606 b,196.436796,2.33,292.0,1.72
4306,,289.86046,1.5,279.0,1.43
4307,,357.13089,1.62,246.0,0.87
4308,,370.50684,2.06,277.0,1.39
4329,,284.727213,2.02,278.0,1.41
4342,,353.40191,2.35,202.0,0.39
4351,,372.62637,2.38,258.0,1.05
4378,,361.43653,1.56,268.0,1.22
4403,,419.92898,1.51,255.0,1.0
4431,,208.18711785,1.99,307.0,2.1
4455,,373.60683,2.5,271.0,1.28
4487,,42.049523793,1.19,303.0,2.0
4505,,367.73299,2.1,266.0,1.19
4522,Kepler-296 f,63.3354719,1.18,202.0,0.39
4525,,389.14115,1.67,250.0,0.92
4526,,365.78863,2.21,215.0,0.5
4530,,224.447413,2.05,260.0,1.08
4547,,427.65334,1.97,284.0,1.53
4559,Kepler-437 b,66.6504521,1.56,308.0,2.14
4560,,55.7002642,1.18,309.0,2.14
4569,,419.4596,2.1,303.0,2.0
4582,,483.36405,1.27,202.0,0.39
4586,,358.56462,0.99,219.0,0.55
4606,,383.10017,2.18,248.0,0.9
4616,,449.01499,1.04,258.0,1.04
4618,,410.11676,1.41,242.0,0.81
4619,Kepler-1450 b,54.5091549,1.94,308.0,2.13
4629,,182.281992,1.67,280.0,1.46
4649,Kepler-442 b,112.303136,1.3,241.0,0.79
4668,Kepler-443 b,177.668663,2.32,233.0,0.7
4684,,357.82544,1.7,306.0,2.08
4687,Kepler-1455 b,49.2768448,1.75,271.0,1.28
4688,Kepler-438 b,35.2330694,0.97,288.0,1.62
4719,,401.5907,1.01,256.0,1.02
4723,,409.38645,1.78,197.0,0.35
4740,,302.779824,1.31,246.0,0.87
4762,,393.95608,2.27,263.0,1.14
5063,Kepler-1512 b,20.35971899,0.8,276.0,1.38
5494,,215.15218,1.36,287.0,1.61
5541,,79.9201319,1.81,217.0,0.53
5542,,199.3113,1.64,278.0,1.42
5545,,199.66876,1.45,305.0,2.06
5581,,364.14397,2.2,259.0,1.06
5597,,371.1495,2.07,245.0,0.85
5660,Kepler-439 b,178.139072,2.25,291.0,1.7
5705,,341.01495,1.72,234.0,0.71
5831,Kepler-296 e,34.1420506,1.06,248.0,0.89
5906,,220.720142,2.0,235.0,0.72
