rowid,dec,ra
87,39.27832,286.07913
170,41.812119,289.50848
532,47.157459,299.83041
560,46.42926,291.86285
631,46.957085,287.55972
663,42.475288,295.3045
973,49.437328,286.54001
1276,44.868889,293.26093
1470,48.13139,283.11377
1550,46.961262,297.50986
1577,45.875031,294.59579
1586,49.626572,297.09067
1795,50.698929,296.85101
2024,46.996712,297.48669
2038,45.136589,293.51108
2244,41.43594,298.59482
2257,49.915058,294.36609
2329,48.360821,290.25385
2359,44.758419,285.71741
2566,40.87711,288.53854
2617,38.743542,290.51019
2723,38.165218,286.98013
2885,44.50148,296.73724
2910,42.123081,281.74261
2955,44.79768,284.67728
2979,48.083832,297.71039
3019,49.614971,294.15775
3031,47.59251,283.42911
3070,51.08194,288.49582
3109,47.88446,289.2175
3123,40.86879,297.07016
3217,45.018139,300.20609
3273,43.832088,287.43918
3274,37.465591,286.21048
3413,45.349861,283.21274
3444,36.771042,291.03369
3626,41.452209,285.34995
3634,47.094929,291.90503
3688,38.874908,291.67682
3694,49.21246,297.285
3700,41.26902,290.60129
3712,38.267109,291.56772
3738,41.889339,286.60889
3784,44.946308,287.25095
3799,40.789028,283.72955
3801,41.76162,290.35706
3820,44.430328,286.22708
3829,44.46067,300.48816
3837,44.294861,295.15546
3846,44.527355,286.40723
3852,49.360142,288.93597
3855,38.84491,292.33884
3896,44.724998,285.75586
3902,42.0462,289.90698
3935,41.731411,289.44867
3938,48.749611,284.53635
3966,44.57222,285.85315
3992,43.38802,296.82007
3993,43.38802,296.82007
4028,38.61499,291.69104
4031,44.382992,295.07507
4051,37.843731,291.7005
4058,42.1689,288.79703
4075,43.989361,294.73132
4081,41.490959,290.62659
4093,42.10574,290.04114
4110,41.266022,296.45776
4113,41.4604,290.62686
4115,49.01255,284.56689
4125,44.73737,286.78354
4131,43.574268,291.22043
4160,41.782631,290.16418
4161,43.975128,294.12762
4172,41.81522,290.0632
4178,46.104069,287.08252
4233,44.180901,294.43747
4236,47.109161,291.73361
4246,43.10128,290.51251
4248,45.930779,282.24762
4251,49.543018,288.74072
4256,45.374771,285.66843
4268,41.056931,289.5531
4270,43.686459,294.85272
4287,43.07325,286.37827
4306,42.957211,293.06857
4307,48.052429,291.16476
4308,41.552311,290.38583
4329,46.802872,290.14725
4342,42.88496,292.32425
4351,41.802818,289.94693
4378,38.151642,286.78522
4403,48.677391,295.53461
4431,40.216812,298.46381
4455,47.256649,281.86789
4487,39.89257,295.79251
4505,41.279121,288.97574
4522,49.437328,286.54001
4525,41.838459,290.30505
4526,45.598492,287.58789
4530,46.276379,289.4585
4547,49.086639,290.73477
4559,44.026939,297.34738
4560,49.041012,295.95798
4569,48.53656,295.77237
4582,40.216061,291.37067
4586,47.10561,291.17566
4606,41.019489,289.61075
4616,50.01358,286.22812
4618,44.99358,289.23987
4619,45.08139,294.55383
4629,46.77375,292.85391
4649,39.280079,285.36658
4668,49.968632,288.61053
4684,40.48563,292.20465
4687,50.502769,294.08307
4688,41.951092,281.64581
4719,44.25597,294.81012
4723,46.917831,286.33545
4740,40.043621,295.98404
4762,41.151901,293.38049
5063,44.470322,289.27451
5494,43.75441,294.53214
5541,48.11438,297.29269
5542,43.98209,295.06677
5545,45.689388,285.69199
5581,43.681469,288.59802
5597,43.13324,294.80182
5660,44.033989,280.80157
5705,43.37075,283.92191
5831,49.437328,286.54001
5906,41.788891,293.36475
5912,40.563141,288.89194
5948,39.28825,288.78134
5953,40.692589,288.85123
5955,40.62534,289.33835
5957,40.626881,291.36411
5961,41.946289,290.20068
5965,41.948639,292.79022
5985,40.777241,290.43491
5991,41.986961,298.53922
5994,42.039478,292.41116
6008,39.592579,286.85861
6014,40.816181,292.76889
6017,42.026001,293.80481
6026,37.785221,290.24103
6034,39.575691,295.1868
6035,39.579391,296.4227
6038,40.834389,299.28336
6046,42.38184,292.36017
6069,41.027618,288.32599
6070,41.082241,288.9754
6071,41.069221,289.88107
6079,42.114891,298.34109
6081,38.086399,286.31915
6094,41.090012,292.55951
6095,41.02478,293.00101
6106,42.296021,288.57758
6109,38.156319,294.0845
6117,39.88802,297.50919
6118,39.9454,283.8624
6120,39.993919,286.18781
6147,40.071369,283.89719
6163,38.56591,290.94846
6169,40.00787,295.33859
6174,41.36478,289.34515
6176,41.351559,290.39862
6179,41.320229,293.48605
6181,38.672531,290.3548
6183,38.673439,290.96146
6184,38.6866,291.7262
6185,38.617329,292.00742
6196,41.314892,298.39798
6197,41.430752,289.20016
6199,41.483501,290.29688
6203,38.630859,294.08191
6211,40.14069,298.0976
6212,40.147171,298.32886
6214,40.21331,289.53738
6222,41.524811,289.82709
6227,38.8339,293.65378
6233,40.314941,284.46585
6241,45.349861,283.21274
6248,38.991749,286.23233
6255,40.358158,290.93436
6261,41.634289,292.48141
6275,38.926491,292.13519
6284,40.448051,287.77182
6287,40.479488,290.74387
6292,41.757408,290.38223
6309,45.724232,283.8996
6312,45.727459,288.78986
6314,45.76976,296.05667
6315,45.764229,298.3862
6319,47.251381,284.0925
6320,47.291889,289.41861
6324,43.20401,286.03711
6331,44.542122,296.19122
6333,44.553761,296.94693
6340,45.800098,288.02945
6357,43.322319,294.51031
6361,44.6651,286.28214
6362,44.658772,286.29144
6363,44.615559,286.78064
6364,44.63987,286.80566
6373,47.420731,297.83392
6374,47.5546,283.46307
6378,47.51762,297.04718
6386,43.476749,291.13617
6390,44.613892,295.59698
6392,44.61042,296.9707
6400,46.033482,285.07355
6403,47.684391,292.03522
6405,47.605862,297.69525
6420,44.744061,298.13864
6423,44.711842,301.50656
